PAR ID,SUB,PRED,OBJ
51554035-1,Nancy Fulda,occupation,Editor
51554035-1,Nancy Fulda,occupation,Computer Scientist
51554035-1,Nancy Fulda,educated at,Brigham Young University
51561288-1,Liam Bevan Malone,occupation,athlete
51561288-1,Liam Bevan Malone,date of birth,23 December 1993
51561288-3,Liam Bevan Malone,place of birth,Nelson
51561288-3,Liam Bevan Malone,educated at,Nayland College
51561288-1,Liam Bevan Malone,occupation,keynote speaker
51579506-1,Gili Raanan,date of birth,1969
51579506-1,Gili Raanan,occupation,venture capitalist
51579506-1,Gili Raanan,occupation,inventor
51579506-1,Gili Raanan,occupation,investor
51579506-3,Gili Raanan,place of birth,"Kfar Saba , Israel"
51579506-3,Gili Raanan,educated at,Tel Aviv University
51579506-3,Gili Raanan,educated at,Recanati School
51694863-1,Edward Neuman,date of birth,"September 19, 1943"
51694863-1,Edward Neuman,place of birth,Poland
51694863-1,Edward Neuman,occupation,mathematician
51694863-1,Edward Neuman,occupation,professor
51694863-3,Edward Neuman,educated at,University of Wroc\u0142aw
51694863-7,Edward Neuman,member of,National Institute of Standards and Technology
51694863-7,Edward Neuman,member of,Journal of Inequalities in Pure and Applied Mathematics
51694863-7,Edward Neuman,member of,Journal of Inequalities and Special Functions
51694863-7,Edward Neuman,member of,Journal of Mathematical Inequalities
51745138-1,Gerald Friedland,place of birth,Berlin
51745138-1,Gerald Friedland,date of birth,1978
51745138-1,Gerald Friedland,occupation,professor
51745138-1,Gerald Friedland,member of,International Computer Science Institute
51745138-3,Gerald Friedland,educated at,Free University of Berlin
51745138-5,Gerald Friedland,occupation,computer scientist
51758444-1,Jeff Seibert,date of birth,"July 27, 1985"
51758444-1,Jeff Seibert,occupation,entrepreneur
51758444-1,Jeff Seibert,occupation,investor
51758444-6,Jeff Seibert,educated at,Gilman School
51758444-7,Jeff Seibert,educated at,Stanford University
51758444-10,Increo,founded by,Jeff Seibert
51861231-1,Lucinda Lucy Sanders,date of birth,1954
51861231-1,Lucinda Lucy Sanders,occupation,ceo
51861231-1,National Center for Women & Information Technology,founded by,Lucinda Lucy Sanders
51861231-4,Lucinda Lucy Sanders,educated at,Louisiana State University
51861231-4,Lucinda Lucy Sanders,educated at,University of Colorado Boulder
51861231-6,Lucinda Lucy Sanders,occupation,manager
51861231-6,Lucinda Lucy Sanders,occupation,cto
51861231-7,Lucinda Lucy Sanders,member of,Center for American Entrepreneurship
51947774-1,Cynthia Barnhart,date of birth,1959
51947774-1,Cynthia Barnhart,occupation,civil engineer
51947774-1,Cynthia Barnhart,occupation,academic
51947774-2,Cynthia Barnhart,member of,National Academy of Engineering
51947774-5,Cynthia Barnhart,place of birth,"Barre, Vermont"
51947774-5,Cynthia Barnhart,educated at,University of Vermont
51947774-5,Cynthia Barnhart,educated at,Massachusetts Institute of Technology
51947774-7,Cynthia Barnhart,occupation,assistant professor
51956447-1,Prakash Vijayanath,occupation,badminton player
51956447-1,Prakash Vijayanath,date of birth,7 November 1994
51956447-3,Prakash Vijayanath,place of birth,India
51956447-4,Prakash Vijayanath,member of,Road to Rio Project
51990887-1,Lior Ron,date of birth,"March 16, 1977"
51990887-1,Lior Ron,educated at,Israel Institute of Technology
51990887-1,Otto,founded by,Lior Ron
51990887-1,Lior Ron,occupation,product lead
52025159-1,Yaniv Altshuler,date of birth,1978
52025159-1,Yaniv Altshuler,occupation,entrepeneur
52025159-1,Yaniv Altshuler,occupation,computer scientist
52025159-2,Endor,founded by,Yaniv Altshuler
52025159-5,Yaniv Altshuler,educated at,Technion in Israel
52025159-8,Yaniv Altshuler,member of,Technion Rothschild Excellence program
52025159-12,Memoraze,founded by,Yaniv Altshuler
52025159-14,Yaniv Altshuler,occupation,lead researcher
52037349-1,Tat Tong,occupation,producer
52037349-1,Tat Tong,occupation,songwriter
52037349-3,Tat Tong,educated at,Cornell University in Ithaca
52041825-1,Tina L. Podlodowski,date of birth,1960
52041825-1,Tina L. Podlodowski,occupation,businesswoman
52041825-1,Tina L. Podlodowski,occupation,politician
52041825-1,Tina L. Podlodowski,occupation,Chair of the Washington State Democratic Party
52041825-1,Tina L. Podlodowski,member of,Washington State Democratic Party
52041825-3,Tina L. Podlodowski,educated at,University of Hartford
52041825-3,Tina L. Podlodowski,member of,Seattle City Council
52042663-1,David Cancel,occupation,entrepreneur
52042663-1,David Cancel,occupation,investor
52042663-1,David Cancel,occupation,founder
52042663-1,Drift,founded by,Dacid Cancel
52042663-3,Dacid Cancel,educated at,Queens College
52042663-5,David Cancel,occupation,Chief Product Officer
52042663-7,David Cancel,occupation,CTO
52042663-8,Ghostery,founded by,Dacid Cancel
52073646-1,Roopam Sharma,date of birth,24 May 1995
52073646-1,Roopam Sharma,occupation,scientist
52073646-3,Roopam Sharma,educated at,Manav Rachna University
52104955-1,Tara Hernandez,occupation,software developer
52104955-1,Tara Hernandez,occupation,open source contributor
52104955-1,Tara Hernandez,member of,Netscape Communications Corporations
52104955-2,Tara Hernandez,member of,Women who Code
52104955-4,Tara Hernandez,educated at,University of California
52104955-5,Tara Hernandez,occupation,Senior Infrastructure Engineer
52104955-5,Tara Hernandez,occupation,Team Lead
52167372-1,Heike Hofmann,date of birth,16 April 1972
52167372-1,Heike Hofmann,occupation,statistician
52167372-1,Heike Hofmann,occupation,professor
52167372-1,Heike Hofmann,member of,Iowa State University
52167372-3,Heike Hofmann,educated at,University of Augsburg
52167372-7,Heike Hofmann,occupation,author
52209729-1,David Isaac Murray,date of birth,27 August 1983
52209729-1,David Isaac Murray,occupation,entrepreneur
52209729-1,David Isaac Murray,occupation,computer scientist
52209729-1,David Isaac Murray,occupation,product designer
52209729-3,David Isaac Murray,educated at,Albuquerque Academy
52209729-3,David Isaac Murray,educated at,Carnegie Mellon University
52209729-5,David Isaac Murray,occupation,Associate Product Manager
52209729-5,GoalSponsors,founded by,David Isaac Murray
27036625-2,Professor Noel Sharkey,occupation,Professor of Artificial Intelligence and Robotics
27036625-2,Professor Noel Sharkey,occupation,Professor of Public Engagement
27049342-1,Willem van Biljon,date of birth,1961
27049342-1,Willem van Biljon,place of birth,South Africa
27049342-1,Willem van Biljon,occupation,technologist
27049342-1,Willem van Biljon,occupation,entrepreneur
27049342-2,Willem van Biljon,educated at,University of Cape Town
27049342-3,Willem van Biljon,occupation,engineering position
27049342-3,Willem van Biljon,occupation,research position
27049342-4,Mosaic Software,founded by,Willem van Biljon
27049342-5,Willem van Biljon,occupation,developer
27049342-6,Willem van Biljon,occupation,computer scientist
27131892-1,Roberto Battiti,date of birth,1961
27131892-1,Roberto Battiti,place of birth,Italy
27131892-1,Roberto Battiti,occupation,computer scientist
27131892-1,Roberto Battiti,occupation,professor
27131892-1,Roberto Battiti,occupation,director of the LIONlab
27131892-1,Roberto Battiti,occupation,deputy directory of the DISI department
27131892-2,Roberto Battiti,educated at,University of Trento
27131892-5,Roberto Battiti,occupation,author
27137230-1,Lawrence T. Wos,date of birth,1930
27137230-1,Lawrence T. Wos,date of death,2020
27137230-1,Lawrence T. Wos,occupation,mathematician
27137230-1,Lawrence T. Wos,occupation,researcher
27137230-2,Lawrence T. Wos,educated at,University of Chicago
27318443-1,Dharmendra S. Modha,occupation,manager
27318443-1,Dharmendra S. Modha,occupation,lead researcher
27318443-3,Dharmendra S. Modha,educated at,IIT Mumbai
27318443-3,Dharmendra S. Modha,educated at,UCSD
27318443-3,Dharmendra S. Modha,educated at,Jacobs School of Engineering
27318443-3,Dharmendra S. Modha,occupation,manager
27318443-3,Dharmendra S. Modha,member of,AAAS
27318443-3,Dharmendra S. Modha,member of,ACM
27318443-3,Dharmendra S. Modha,member of,SfN
27318443-4,Dharmendra S. Modha,occupation,Principal Investigator
27340006-1,Bhawani Shankar Chowdhry,date of birth,1 January 1959
27340006-1,Bhawani Shankar Chowdhry,place of birth,"Kantio, Sindh"
27340006-1,Bhawani Shankar Chowdhry,occupation,ICT Proffesional
27340006-1,Bhawani Shankar Chowdhry,occupation,electronics engineer
27340006-1,Bhawani Shankar Chowdhry,occupation,Distinguished National Professor
27340006-1,Bhawani Shankar Chowdhry,occupation,Meritorious Professor
27340006-1,Bhawani Shankar Chowdhry,occupation,Emeritus Professor
27340006-1,Bhawani Shankar Chowdhry,occupation,"former Dean Faculty of Electrical, Electronics and Computer Engineering"
27340006-2,Bhawani Shankar Chowdhry,educated at,Mehran University of Engineering and Technology
27340006-2,Bhawani Shankar Chowdhry,occupation,lecturer in electronics engineering
27340006-4,Bhawani Shankar Chowdhry,occupation,guest Associate Editor
27340006-4,Bhawani Shankar Chowdhry,occupation,director
27340006-4,Bhawani Shankar Chowdhry,member of,Institute of Information and Communication Technologies (IICT)
27498613-1,Neil T. Heffernan,date of birth,June 1970
27498613-1,Neil T. Heffernan,place of birth,"Worcester, Massachusetts"
27498613-1,Neil T. Heffernan,occupation,professor of computer science
27498613-3,Neil T. Heffernan,educated at,Amherst College
27498613-3,Neil T. Heffernan,educated at,Carnegie Mellon University
27498613-4,Neil T. Heffernan,occupation,assistant professor
27498613-4,Neil T. Heffernan,occupation,associate professor
27498613-4,Neil T. Heffernan,member of,Learning Sciences research group
27498613-4,Neil T. Heffernan,member of,Learning Sciences and Technology graduate program
27683970-1,Constance J. Chang-Hasnain,occupation,chairperson
27683970-1,Berxel Photonics Co. Ltd.,founded by,Constance J. Chang-Hasnain
27683970-1,Constance J. Chang-Hasnain,occupation,Whinnery Professor Emerita
27683970-1,Constance J. Chang-Hasnain,member of,Berxel Photonics Co. Ltd.
27683970-1,Constance J. Chang-Hasnain,member of,Berxel Photonics Co. Ltd.
27683970-2,Constance J. Chang-Hasnain,educated at,University of California
27683970-2,Constance J. Chang-Hasnain,occupation,technical staff
27683970-2,Constance J. Chang-Hasnain,occupation,assistant professor
27683970-2,Constance J. Chang-Hasnain,occupation,professor
27683970-2,Constance J. Chang-Hasnain,member of,Nanoscale Science and Engineering Graduate Group
27683970-2,Constance J. Chang-Hasnain,occupation,Associate Dean
27683970-2,Tsinghua-Berkeley Shenzhen Institute (TBSI),founded by,Constance J. Chang-Hasnain
27683970-2,Constance J. Chang-Hasnain,occupation,Co-Director
27683970-2,Constance J. Chang-Hasnain,occupation,Chief Academic Officer
27683970-2,Constance J. Chang-Hasnain,member of,Berkeley Education Alliance for Research in Singapore (BEARS)
27683970-3,Constance J. Chang-Hasnain,member of,IEEE
27683970-3,Constance J. Chang-Hasnain,member of,The Optical Society
27683970-3,Constance J. Chang-Hasnain,member of,the Institution of Engineering and Technology
27683970-5,Constance J. Chang-Hasnain,member of,National Academy of Engineering
27864021-1,Natarajan Shankar,occupation,computer scientist
27864021-2,Natarajan Shankar,educated at,University of Texas
27864021-4,Natarajan Shankar,member of,SRI International's Computer Science Laboratory
29370503-1,Patrick Hayden,occupation,physicist
29370503-1,Patrick Hayden,occupation,computer scientist
29370503-1,Patrick Hayden,occupation,professor
29370503-1,Patrick Hayden,member of,Perimeter Institute for Theoretical Physics
29370503-1,Patrick Hayden,educated at,McGill University
29370503-1,Patrick Hayden,place of birth,Canada
29390201-1,Farooque Ahmed,date of birth,1976
29390201-1,Farooque Ahmed,place of birth,Pakistan
29390201-2,Farooque Ahmed,educated at,College of Staten Island
29390201-2,Farooque Ahmed,occupation,network design contractor
29390201-2,Farooque Ahmed,educated at,Aspen University
29390201-4,Farooque Ahmed,member of,Al-Qaeda
30556207-1,Christopher Ray Johnson,date of birth,"January 17, 1960"
30556207-1,Christopher Ray Johnson,date of birth,"Kansas City, Kansas"
30556207-1,Christopher Ray Johnson,occupation,computer scientist
30556207-1,Scientific Computing and Imaging Institute (SCI),founded by,Christopher Ray Johnson
30556207-2,Christopher Ray Johnson,educated at,Wright State University
30556207-2,Christopher Ray Johnson,educated at,University of Utah
30556207-3,Christopher Ray Johnson,member of,ACCESS Program for Women in Science and Mathematics
30556207-3,Christopher Ray Johnson,member of,ACCESS Faculty
30556207-3,Engineering Scholars Program,founded by,Christopher Ray Johnson
30556207-3,Christopher Ray Johnson,member of,Engineering Scholars Program
30556207-4,Christopher Ray Johnson,member of,Computing Research Association (CRA)
30556207-4,Christopher Ray Johnson,member of,Executive Committee of the IEEE Computer Society Technical Committee on Visualization and Graphics
31413927-1,Peter C. Nelson,occupation,Artificial Intelligence researcher
31413927-1,Peter C. Nelson,occupation,Computer Science professor
31413927-1,Peter C. Nelson,occupation,Dean of the College of Engineering
31413927-1,Peter C. Nelson,educated at,North Park University
31413927-1,Peter C. Nelson,educated at,Northwestern University
31413927-2,University of Illinois at Chicago's Artificial Intelligence Laboratory,founded by,Peter C. Nelson
31316251-1,David Charles Gooding,date of birth,21 November 1947
31316251-1,David Charles Gooding,date of death,13 December 2009
31316251-1,David Charles Gooding,occupation,Professor of History and Philosophy of Science
31316251-1,David Charles Gooding,occupation,Director of the Science Studies Centre
31316251-1,David Charles Gooding,member of,History of Science Section of the BAAS
31509471-1,Zhi-Li Zhang,occupation,computer scientist
31509471-1,Zhi-Li Zhang,member of,Networking Research Group
31509471-1,Zhi-Li Zhang,educated at,University of Massachusetts
31509471-2,Zhi-Li Zhang,educated at,Nanjing University
31509471-2,Zhi-Li Zhang,member of,IEEE
31409454-1,Ashok K. Chandra,date of birth,30 July 1948
31409454-1,Ashok K. Chandra,date of death,15 November 2014
31409454-1,Ashok K. Chandra,occupation,computer scientist
31409454-1,Ashok K. Chandra,occupation,general manager
31409454-1,Ashok K. Chandra,educated at,Stanford University
31409454-1,Ashok K. Chandra,educated at,University of California
31409454-1,Ashok K. Chandra,educated at,IIT Kanpur
31409454-2,Ashok K. Chandra,member of,Database and Distributed Systems at IBM Almaden Research Center
31409454-4,IEEE Symposium on Logic in Computer Science,founded by,Ashok K. Chandra
31409454-5,Ashok K. Chandra,member of,IEEE
35613685-1,Mihai Pătrașcu,date of birth,17 July 1982
35613685-1,Mihai Pătrașcu,date of death,5 June 2012
35613685-1,Mihai Pătrașcu,occupation,computer scientist
35613685-2,Mihai Pătrașcu,educated at,Carol I National College
35613685-3,Mihai Pătrașcu,educated at,Massachusetts Institute of Technology
36852680-1,Ana Rivas Logan,date of birth,"May 16, 1961"
36852680-1,Ana Rivas Logan,occupation,politician
36852680-2,Ana Rivas Logan,educated at,Florida International University
36852680-2,Ana Rivas Logan,educated at,Nova Southeastern University
36852680-3,Ana Rivas Logan,member of,Democrat
37285702-1,Christopher F. Chabris,occupation,research psychologist
37285702-1,Christopher F. Chabris,occupation,Senior Investigator (Professor)
37285702-1,Christopher F. Chabris,member of,Neuroscience Program
37285702-2,Christopher F. Chabris,date of birth,1966
37285702-2,Christopher F. Chabris,place of birth,New York
37285702-2,Christopher F. Chabris,educated at,Harvard University
37285702-2,Christopher F. Chabris,educated at,Harvard University
37285702-2,Christopher F. Chabris,member of,NMR Center
37285702-2,Christopher F. Chabris,member of,Psychology Department
37285702-2,Christopher F. Chabris,member of,Massachusetts General Hospital
37285702-2,Christopher F. Chabris,member of,Department of Radiology
37285702-2,Christopher F. Chabris,member of,Harvard Medical School
37285702-3,American Chess Journal,founded by,Christopher F. Chabris
39080165-1,Ron David Appel,date of birth,13 April 1959
39080165-1,Ron David Appel,occupation,bioinformatician
39080165-1,Ron David Appel,occupation,professor
39080165-2,Ron David Appel,educated at,University of Geneva
39080165-2,Ron David Appel,educated at,Harvard School of Public Health
39080165-3,Swiss Institute of Bioinformatics,founded by,Ron David Appel
39080165-4,Geneva Bioinformatics (GeneBio) SA,founded by,Ron David Appel
39080165-4,GeneProt,founded by,Ron David Appel
39080165-4,Ron David Appel,member of,University of Geneva's Foundation Council
39080165-4,Ron David Appel,member of,Health On the Net Foundation (HON)
39080165-4,Ron David Appel,member of,Foundation Council of OsiriX
39080165-4,Ron David Appel,member of,Foundation Council of the Hasler Foundation
38567859-1,Kevin Leyton-Brown,date of birth,"May 12, 1975"
38567859-1,Kevin Leyton-Brown,occupation,professor
38567859-1,Kevin Leyton-Brown,educated at,Stanford University
38567859-2,Kevin Leyton-Brown,member of,Journal of Artificial Intelligence Research
38567859-2,Kevin Leyton-Brown,member of,Artificial Intelligence
38567859-2,Kevin Leyton-Brown,member of,ACM Conference on Electronic Commerce
38567859-2,Kevin Leyton-Brown,member of,ACM Transactions on Economics and Computation
40057479-1,Christian Huitema,date of birth,1953
40057479-1,Christian Huitema,place of birth,"Nantes, France"
40057479-2,Christian Huitema,member of,French Institute for Research in Computer Science and Automation (INRIA)
40565617-1,Walter Daelemans,date of birth,"June 3, 1960"
40565617-1,Walter Daelemans,occupation,research director
40565617-1,Walter Daelemans,occupation,professor
40565617-2,Walter Daelemans,educated at,Katholieke Universiteit Leuven
40565617-3,Induction of Linguistic Knowledge (ILK),founded by,Walter Daelemans
40565617-4,Walter Daelemans,member of,ECCAI (the European Coordinating Committee for Artificial Intelligence)
40565617-5,Walter Daelemans,member of,Association for Computational Linguistics
41921046-1,Jan Józef Werewka,date of birth,"May 1, 1948"
41921046-1,Jan Józef Werewka,place of birth,Jasień
41921046-1,Jan Józef Werewka,occupation,professor
41921046-2,Jan Józef Werewka,educated at,Dresden University of Technology
41921046-2,Jan Józef Werewka,educated at,AGH University of Mining and Metallurgy
41921046-2,Jan Józef Werewka,educated at,Humboldt University of Berlin
41921046-2,Jan Józef Werewka,occupation,head of postgraduate
41921046-3,ATSI S.A.,founded by,Jan Józef Werewka
41444827-1,Samir Khuller,date of birth,1965
41444827-1,Samir Khuller,occupation,professor
41444827-2,Samir Khuller,educated at,Indian Institute of Technology Kanpur
41444827-2,Samir Khuller,educated at,Cornell University
41444827-2,Samir Khuller,member of,UMIACS (the Institute for Advanced Computer Studies)
620257-1,Peter Jay Weinberger,date of birth,"August 6, 1942"
620257-1,Peter Jay Weinberger,occupation,computer scientist
620257-2,Peter Jay Weinberger,educated at,Swarthmore College
620257-2,Peter Jay Weinberger,educated at,University of California
651800-1,Terence Aidan (Terry) Halpin,date of birth,1950s
651800-1,Terence Aidan (Terry) Halpin,occupation,computer scientist
651800-2,Terence Aidan (Terry) Halpin,educated at,University of Queensland
825199-1,Jeffrey Outlaw Shallit,date of birth,"October 17, 1957"
825199-1,Jeffrey Outlaw Shallit,occupation,computer scientist
825199-1,Jeffrey Outlaw Shallit,occupation,number theorist
825199-1,Jeffrey Outlaw Shallit,spouse,Anna Lubiw
825199-2,Jeffrey Outlaw Shallit,place of birth,"Philadelphia, Pennsylvania"
825199-4,Jeffrey Outlaw Shallit,educated at,Princeton University
825199-4,Jeffrey Outlaw Shallit,educated at,University of California
892852-1,Samson Abramsky,date of birth,12 March 1953
892852-3,Samson Abramsky,educated at,"Hasmonean Grammar School for Boys, Hendon"
892852-3,Samson Abramsky,educated at,"King's College, Cambridge"
892852-3,Samson Abramsky,educated at,"Queen Mary, University of London"
892852-13,Samson Abramsky,member of,Academia Europaea
892852-13,Samson Abramsky,member of,LiCS Organizing Committee
980748-1,Shuman Ghosemajumder,date of birth,1974
980748-1,Shuman Ghosemajumder,occupation,"technologist, entrepreneur, and author"
980748-1,TeachAids,founded by,Shuman Ghosemajumder
980748-3,Shuman Ghosemajumder,place of birth,"Stuttgart, West Germany"
980748-3,Shuman Ghosemajumder,educated at,University of Western Ontario
980748-3,Shuman Ghosemajumder,educated at,MIT Sloan School of Management
980748-6,TeachAids,founded by,Shuman Ghosemajumder
998591-1,Robert Denis Glaser,date of birth,"January 16, 1962"
998591-1,Robert Denis Glaser,place of birth,"New York City, New York"
998591-1,RealNetworks,founded by,Robert Denis Glaser
998591-3,Robert Denis Glaser,educated at,Yale University
998591-5,Access Project,founded by,Robert Denis Glaser
998591-5,Glaser Progress Foundation,founded by,Robert Denis Glaser
998591-5,PutinTrump.org,founded by,Robert Denis Glaser
1002526-1,Gabor Tamas Herman,occupation,professor of computer science
1002526-3,Gabor Tamas Herman,educated at,University of London
1002526-3,Gabor Tamas Herman,educated at,"University of California, Berkeley"
1002526-13,Gabor Tamas Herman,spouse,Marilyn Kirsch
1051825-1,Bernard Chazelle,date of birth,"November 5, 1955"
1051825-1,Bernard Chazelle,occupation,computer scientist
1051825-3,Bernard Chazelle,place of birth,"Clamart, France"
1051825-3,Bernard Chazelle,educated at,École des mines de Paris
1051825-3,Bernard Chazelle,educated at,Yale University
1051825-4,Bernard Chazelle,member of,European Academy of Sciences
1051825-6,Bernard Chazelle,spouse,Celia Chazelle
1053071-1,Gary Chevsky,date of birth,11 September 1972
1053071-1,Gary Chevsky,place of birth,"Odessa, USSR"
1053071-1,Gary Chevsky,occupation,entrepreneur
1053071-1,Gary Chevsky,occupation,engineer
1053071-1,StayUp Inc,founded by,Gary Chevsky
1053071-4,Gary Chevsky,educated at,University of California Berkeley
1147236-1,Christopher Stewart Wallace,date of birth,26 October 1933
1147236-1,Christopher Stewart Wallace,date of death,7 August 2004
1147236-1,Christopher Stewart Wallace,occupation,computer scientist
1147236-1,Christopher Stewart Wallace,occupation,physicist
1147236-4,Christopher Stewart Wallace,educated at,University of Sydney
1147236-4,Christopher Stewart Wallace,spouse,Judy Ogilvie
1212157-1,Diomidis D. Spinellis,date of birth,2 February 1967
1212157-1,Diomidis D. Spinellis,place of birth,Athens
1212157-1,Diomidis D. Spinellis,occupation,computer science academic
1212157-1,Diomidis D. Spinellis,occupation,author
1212157-2,Diomidis D. Spinellis,educated at,Imperial College London
1212157-4,Diomidis D. Spinellis,member of,IEEE Software
1330513-1,Keith Oliver Geddes,date of birth,1947
1330513-1,Keith Oliver Geddes,educated at,University of Saskatchewan
1330513-1,Keith Oliver Geddes,educated at,University of Toronto
1330513-2,Keith Oliver Geddes,member of,Association for Computing Machinery
1330513-2,Keith Oliver Geddes,member of,American and Canadian Mathematical Societies
1368313-1,Andi (Andrei) Gutmans,occupation,programmer
1368313-1,Andi (Andrei) Gutmans,occupation,entrepreneur
1368313-2,Andi (Andrei) Gutmans,educated at,Technion in Haifa
1368313-4,Andi (Andrei) Gutmans,educated at,Israel Institute of Technology
1368313-4,Zend Technologies,founded by,Andi (Andrei) Gutmans
1368313-6,Andi (Andrei) Gutmans,member of,Apache Software Foundation
1370768-1,Neil Immerman,date of birth,24 November 1953
1370768-1,Neil Immerman,place of birth,"Manhasset, New York"
1370768-1,Neil Immerman,occupation,theoretical computer scientist
1370768-2,Neil Immerman,educated at,Yale University
1370768-2,Neil Immerman,educated at,Cornell University
1385119-1,Silvio Micali,date of birth,"October 13, 1954"
1385119-1,Silvio Micali,occupation,computer scientist
1385119-1,Algorand,founded by,Silvio Micali
1385119-4,Silvio Micali,educated at,La Sapienza University of Rome
1385119-4,Silvio Micali,educated at,"University of California, Berkeley"
1385119-6,CoreStreet Ltd,founded by,Silvio Micali
1385119-7,Peppercoin,founded by,Silvio Micali
1385119-8,Algorand,founded by,Silvio Micali
1385119-10,Silvio Micali,member of,National Academy of Sciences
1385119-10,Silvio Micali,member of,National Academy of Engineering
1385119-10,Silvio Micali,member of,American Academy of Arts and Sciences
1396931-1,Ian Tremere Foster,date of birth,1 January 1959
1396931-1,Ian Tremere Foster,occupation,computer scientist
1396931-3,Ian Tremere Foster,place of birth,"Wellington, New Zealand"
1396931-3,Ian Tremere Foster,educated at,Wellington College
1396931-3,Ian Tremere Foster,educated at,University of Canterbury
1396931-3,Ian Tremere Foster,educated at,Imperial College London
1396931-10,Univa Corporation,founded by,Ian Tremere Foster
1448006-1,Robert Stanley ,date of birth,"February 13, 1925"
1448006-1,Robert Stanley ,date of death,"January 28, 2009"
1448006-5,Robert Stanley ,place of birth,"New Britain, Connecticut"
1448006-5,Robert Stanley ,educated at,University of Iowa
1448006-9,Computer System Architects,founded by,Duane Call
1448006-9,WordPerfect,founded by,Alan Ashton
1448006-9,Silicon Graphics,founded by,James H. Clark
1448006-9,Adobe Systems,founded by,John Warnock
1498731-2,John C. Hull,occupation,researcher
1498731-2,John C. Hull,occupation,author
1498731-3,John C. Hull,educated at,Cambridge University
1498731-3,John C. Hull,educated at,Lancaster University
1498731-3,John C. Hull,educated at,Cranfield University
1498731-4,John C. Hull,spouse,Michelle
1527871-1,Frank Thomson ,date of birth,1956
1527871-1,Akamai Technologies,founded by,Frank Thomson 
1527871-2,Frank Thomson ,member of,Computer Science and Artificial Intelligence Laboratory (CSAIL)
1527871-2,Frank Thomson ,educated at,Princeton University
1527871-2,Frank Thomson ,educated at,Massachusetts Institute of Technology (MIT)
1527871-3,Research Science Institute (RSI),founded by,Admiral Hyman G. Rickover
1573914-1,Ian Colin Graham Bell,date of birth,31 October 1962
1573914-1,Ian Colin Graham Bell,place of birth,"Hatfield, Hertfordshire"
1573914-2,Ian Colin Graham Bell,educated at,St Albans School
1573914-2,Ian Colin Graham Bell,educated at,"Jesus College, Cambridge"
1581678-1,James Quentin Stafford-Fraser,occupation,computer scientist
1581678-1,James Quentin Stafford-Fraser,occupation,entrepreneur
1581678-4,James Quentin Stafford-Fraser,member of,the winning team on 
1581678-8,James Quentin Stafford-Fraser,educated at,Haileybury
1581678-8,James Quentin Stafford-Fraser,educated at,"Cambridge, England"
