PAR ID,SUB,PRED,OBJ
1002526-1,Gabor Tamas Herman,position held,"Emiritas Professor of Computer Science at The Graduate Center, City University of New York (CUNY)"
1002526-1,Gabor Tamas Herman,position held,fellow of the Institute of Electrical and Electronics Engineers (IEEE)
1002526-3,Gabor Tamas Herman,educated at,University of London
1002526-3,Gabor Tamas Herman,educated at,"University of California, Berkeley"
1002526-4,Gabor Tamas Herman,position held,assistant professor
1002526-4,Gabor Tamas Herman,position held,associate professor
1002526-4,Gabor Tamas Herman,position held,full professor
1002526-5,Gabor Tamas Herman,position held,professor in the radiology department
1002526-5,Gabor Tamas Herman,position held,fellow of the Institute of Electrical and Electronics Engineers (IEEE)
1002526-5,Gabor Tamas Herman,position held,fellow of the American Institute for Medical and Biological Engineering
1002526-6,Gabor Tamas Herman,position held,Distinguished Professor
1002526-9,Gabor Tamas Herman,position held,Editor-in-Chief of the IEEE Transactions on Medical Imaging
1002526-13,Gabor Tamas Herman,spouse,Marilyn Kirsch
1051825-1,Bernard Chazelle,date of birth,"November 5, 1955"
1051825-1,Bernard Chazelle,occupation,computer scientist
1051825-1,Bernard Chazelle,position held,Eugene Higgins Professor of Computer Science at Princeton University
1051825-3,Bernard Chazelle,place of birth,"Clamart, France"
1051825-3,Bernard Chazelle,educated at,École des mines de Paris
1051825-3,Bernard Chazelle,educated at,Yale University
1051825-4,Bernard Chazelle,position held,"fellow of the ACM, the American Academy of Arts and Sciences, the John Simon Guggenheim Memorial Foundation, and NEC"
1051825-4,Bernard Chazelle,position held,member of the European Academy of Sciences
1051825-6,Bernard Chazelle,spouse,Celia Chazelle
1053071-1,Gary Chevsky,date of birth,11 September 1972
1053071-1,Gary Chevsky,place of birth,"Odessa, USSR"
1053071-1,Gary Chevsky,occupation,entrepreneur
1053071-1,Gary Chevsky,occupation,engineer
1053071-1,Gary Chevsky,position held,founding architect of Ask Jeeves
1053071-1,Gary Chevsky,position held,President at Tango mobile video and audio-over-IP calling service for consumers
1053071-1,StayUp Inc,founded by,Gary Chevsky
1053071-2,Gary Chevsky,position held,Vice President of Engineering at Symantec Corporation
1053071-2,Gary Chevsky,position held,"Vice President of Product Development, Operations & IT for YouSendIt"
1053071-2,Gary Chevsky,position held,President of Tango
1053071-2,StayUp Inc,founded by,Gary Chevsky
1053071-2,Gary Chevsky,position held,CEO
1053071-2,Gary Chevsky,position held,executive advisor
1053071-2,Gary Chevsky,position held,Vice President of Collaboration
1053071-4,Gary Chevsky,educated at,University of California Berkeley
1147236-1,Christopher Stewart Wallace,date of birth,26 October 1933
1147236-1,Christopher Stewart Wallace,date of death,7 August 2004
1147236-1,Christopher Stewart Wallace,occupation,computer scientist
1147236-1,Christopher Stewart Wallace,occupation,physicist
1147236-3,Christopher Stewart Wallace,position held,Foundation Chair of Information Science
1147236-3,Christopher Stewart Wallace,position held,Professor Emeritus
1147236-3,Christopher Stewart Wallace,position held,fellow of the Australian Computer Society
1147236-3,Christopher Stewart Wallace,position held,fellow of the ACM
1147236-4,Christopher Stewart Wallace,educated at,University of Sydney
1147236-4,Christopher Stewart Wallace,spouse,Judy Ogilvie
